Painting,Detected_Objects
57728649edc2cb388003a757.jpg,"urban area (count=147, max_conf=1.00); background (count=2, max_conf=0.99); bush (count=1, max_conf=0.73)"
577270e8edc2cb3880bfa325.jpg,"urban area (count=150, max_conf=1.00)"
577270a4edc2cb3880bede8d.jpg,"urban area (count=148, max_conf=1.00); curtain (count=1, max_conf=0.93); grass (count=1, max_conf=0.55)"
5772842dedc2cb3880fd1d97.jpg,"urban area (count=147, max_conf=1.00); flooring (count=3, max_conf=0.71)"
57727cb9edc2cb3880e56005.jpg,"urban area (count=135, max_conf=1.00); blanket (count=4, max_conf=0.98); dirt (count=1, max_conf=0.70); food (count=1, max_conf=0.87); shelves (count=1, max_conf=1.00); background (count=2, max_conf=1.00); hill (count=3, max_conf=1.00); cage (count=1, max_conf=0.81); road (count=1, max_conf=0.51); gravel (count=1, max_conf=0.88)"
57728377edc2cb3880fab2d0.jpg,"urban area (count=149, max_conf=1.00); background (count=1, max_conf=0.99)"
57726ef9edc2cb3880b9280e.jpg,"urban area (count=142, max_conf=1.00); gravel (count=4, max_conf=1.00); sand (count=1, max_conf=0.75); building (count=1, max_conf=0.84); background (count=1, max_conf=1.00); bush (count=1, max_conf=0.99)"
57728209edc2cb3880f64546.jpg,"urban area (count=145, max_conf=1.00); sand (count=1, max_conf=0.68); house (count=1, max_conf=0.70); gravel (count=1, max_conf=0.74); hill (count=2, max_conf=0.52)"
57727564edc2cb3880ce1644.jpg,"urban area (count=137, max_conf=1.00); desk (count=8, max_conf=0.97); background (count=3, max_conf=0.99)"
57728649edc2cb388003a6b3.jpg,"urban area (count=150, max_conf=1.00)"
57727d0aedc2cb3880e6840b.jpg,"urban area (count=111, max_conf=0.99); bridge (count=4, max_conf=0.98); desk (count=6, max_conf=1.00); dirt (count=4, max_conf=1.00); pavement (count=2, max_conf=0.94); rail track (count=5, max_conf=0.99); road marking (count=3, max_conf=0.85); blanket (count=3, max_conf=0.82); background (count=2, max_conf=1.00); cage (count=1, max_conf=0.98); building (count=1, max_conf=0.87); banner (count=1, max_conf=0.95); hill (count=1, max_conf=1.00); gravel (count=2, max_conf=0.92); sand (count=1, max_conf=0.98)"
57727d71edc2cb3880e7c599.jpg,"urban area (count=144, max_conf=1.00); background (count=3, max_conf=0.99); desk (count=1, max_conf=0.63)"
57728ad8edc2cb3880125a8d.jpg,"urban area (count=134, max_conf=1.00); background (count=13, max_conf=1.00); gravel (count=1, max_conf=0.75); curtain (count=1, max_conf=0.94)"
587cf645edc2c9546c0d0c0e.jpg,"urban area (count=148, max_conf=1.00); background (count=1, max_conf=0.99)"
57727e35edc2cb3880ea430e.jpg,"urban area (count=148, max_conf=1.00); background (count=1, max_conf=1.00); flooring (count=1, max_conf=0.93)"
57727564edc2cb3880ce16c4.jpg,"urban area (count=145, max_conf=1.00); background (count=3, max_conf=1.00); refrigerator (count=1, max_conf=1.00); curtain (count=1, max_conf=1.00)"
57727022edc2cb3880bcfc78.jpg,"urban area (count=150, max_conf=1.00)"
57727dafedc2cb3880e8772d.jpg,"urban area (count=142, max_conf=1.00); background (count=5, max_conf=0.98); blinds (count=3, max_conf=0.97)"
57727018edc2cb3880bcf00a.jpg,"urban area (count=147, max_conf=1.00); rail track (count=1, max_conf=0.99); background (count=1, max_conf=0.55); gravel (count=1, max_conf=0.65)"
57727d0aedc2cb3880e683bb.jpg,"urban area (count=142, max_conf=1.00); desk (count=6, max_conf=1.00); background (count=1, max_conf=1.00); shelves (count=1, max_conf=0.98)"
57726f84edc2cb3880bb11bd.jpg,"urban area (count=147, max_conf=1.00); curtain (count=1, max_conf=0.65); shower curtain (count=1, max_conf=0.68); field (count=1, max_conf=0.96)"
57728600edc2cb388002e188.jpg,"urban area (count=139, max_conf=1.00); background (count=11, max_conf=1.00)"
57728ad8edc2cb3880125b5d.jpg,"urban area (count=146, max_conf=1.00); background (count=3, max_conf=1.00); refrigerator (count=1, max_conf=1.00)"
57727696edc2cb3880d1f3d9.jpg,"urban area (count=146, max_conf=1.00); background (count=4, max_conf=0.85)"
577281c5edc2cb3880f5944e.jpg,"urban area (count=133, max_conf=1.00); toilet (count=3, max_conf=1.00); background (count=4, max_conf=1.00); desk (count=2, max_conf=0.73); shower curtain (count=5, max_conf=1.00); curtain (count=2, max_conf=0.99)"
577278deedc2cb3880d95010.jpg,"urban area (count=144, max_conf=1.00); shower curtain (count=5, max_conf=1.00); background (count=1, max_conf=0.90)"
5772839bedc2cb3880fb3e41.jpg,"urban area (count=150, max_conf=1.00)"
57727cd1edc2cb3880e5de05.jpg,"urban area (count=147, max_conf=1.00); background (count=1, max_conf=1.00); toilet (count=2, max_conf=1.00)"
57727e81edc2cb3880eb0a26.jpg,"urban area (count=149, max_conf=1.00); background (count=1, max_conf=1.00)"
57726e20edc2cb3880b60185.jpg,"urban area (count=142, max_conf=1.00); background (count=6, max_conf=1.00); blanket (count=1, max_conf=1.00); grass (count=1, max_conf=0.53)"
577270f2edc2cb3880bfb423.jpg,"urban area (count=147, max_conf=1.00); background (count=3, max_conf=0.97)"
57726e1aedc2cb3880b5f7a5.jpg,"urban area (count=147, max_conf=1.00); food (count=1, max_conf=0.77); background (count=2, max_conf=0.90)"
57728a95edc2cb38801198e7.jpg,"urban area (count=146, max_conf=1.00); background (count=2, max_conf=1.00); food (count=1, max_conf=0.95); cage (count=1, max_conf=0.65)"
57727030edc2cb3880bd13f6.jpg,"urban area (count=148, max_conf=1.00); background (count=1, max_conf=0.61); dirt (count=1, max_conf=0.98)"
57727025edc2cb3880bd015a.jpg,"urban area (count=126, max_conf=1.00); background (count=24, max_conf=0.98)"
57726e16edc2cb3880b5f175.jpg,"urban area (count=148, max_conf=1.00); background (count=1, max_conf=1.00); bush (count=1, max_conf=0.99)"
57727551edc2cb3880ce05e0.jpg,"urban area (count=140, max_conf=1.00); background (count=9, max_conf=0.90)"
577289cfedc2cb38800f0b1d.jpg,"urban area (count=135, max_conf=1.00); background (count=6, max_conf=1.00); sidewalk (count=4, max_conf=0.85); bridge (count=2, max_conf=0.95); rail track (count=1, max_conf=0.67)"
577286abedc2cb388004e65c.jpg,"urban area (count=134, max_conf=1.00); toilet (count=15, max_conf=0.99); refrigerator (count=1, max_conf=0.99)"
57728394edc2cb3880fb32da.jpg,"urban area (count=148, max_conf=1.00); background (count=1, max_conf=1.00); refrigerator (count=1, max_conf=1.00)"
577272feedc2cb3880c738f3.jpg,"urban area (count=146, max_conf=1.00); background (count=2, max_conf=0.68); bush (count=2, max_conf=0.73)"
5772866cedc2cb3880042ed3.jpg,"urban area (count=113, max_conf=1.00); fire hydrant (count=5, max_conf=0.81); background (count=19, max_conf=1.00); rail track (count=8, max_conf=0.90); toilet (count=1, max_conf=0.99)"
57726ef9edc2cb3880b9275b.jpg,"urban area (count=139, max_conf=1.00); floor (count=1, max_conf=0.52); background (count=3, max_conf=1.00); sidewalk (count=2, max_conf=0.72); table (count=1, max_conf=0.71); curtain (count=1, max_conf=1.00); ceiling (count=1, max_conf=1.00)"
577281c5edc2cb3880f593be.jpg,"refrigerator (count=4, max_conf=1.00); urban area (count=141, max_conf=1.00); background (count=4, max_conf=1.00); curtain (count=1, max_conf=0.99)"
57726e21edc2cb3880b60386.jpg,"urban area (count=150, max_conf=1.00)"
5a4cf424edc2c900bcea7e1b.jpg,"urban area (count=144, max_conf=1.00); branch (count=2, max_conf=0.68); blanket (count=3, max_conf=0.82); background (count=1, max_conf=1.00)"
577278b1edc2cb3880d8b678.jpg,"urban area (count=148, max_conf=1.00); background (count=1, max_conf=1.00); bush (count=1, max_conf=0.68)"
57726e34edc2cb3880b62370.jpg,"urban area (count=148, max_conf=1.00); background (count=1, max_conf=0.96); food (count=1, max_conf=0.99)"
57728501edc2cb3880ffb43e.jpg,"urban area (count=150, max_conf=1.00)"
577271d8edc2cb3880c2edf6.jpg,"urban area (count=130, max_conf=1.00); background (count=16, max_conf=0.95); refrigerator (count=4, max_conf=0.97)"
57727016edc2cb3880bcebd8.jpg,"urban area (count=149, max_conf=1.00); background (count=1, max_conf=1.00)"
57726ef1edc2cb3880b8c046.jpg,"urban area (count=148, max_conf=1.00); background (count=2, max_conf=1.00)"
57728395edc2cb3880fb359c.jpg,"urban area (count=146, max_conf=1.00); background (count=2, max_conf=0.94); desk (count=2, max_conf=0.86)"
577288e7edc2cb38800bedac.jpg,"urban area (count=149, max_conf=1.00); background (count=1, max_conf=0.93)"
5772866bedc2cb3880042e93.jpg,"urban area (count=133, max_conf=1.00); background (count=14, max_conf=1.00); rail track (count=3, max_conf=0.89)"
577287cbedc2cb38800829d1.jpg,"urban area (count=146, max_conf=1.00); background (count=3, max_conf=1.00); cabinet (count=1, max_conf=0.83)"
57728562edc2cb388000f4ca.jpg,"urban area (count=146, max_conf=1.00); bush (count=4, max_conf=0.78)"
57727f45edc2cb3880ed8214.jpg,"urban area (count=150, max_conf=1.00)"
577274e8edc2cb3880cce6cf.jpg,"urban area (count=150, max_conf=1.00)"
57727028edc2cb3880bd078a.jpg,"urban area (count=144, max_conf=1.00); background (count=6, max_conf=0.98)"
57728a54edc2cb38801085b2.jpg,"urban area (count=149, max_conf=1.00); background (count=1, max_conf=1.00)"
57728947edc2cb38800d343a.jpg,"urban area (count=149, max_conf=1.00); background (count=1, max_conf=1.00)"
57728497edc2cb3880fe6be1.jpg,"urban area (count=150, max_conf=1.00)"
57726e35edc2cb3880b625b6.jpg,"urban area (count=148, max_conf=1.00); background (count=1, max_conf=0.98); food (count=1, max_conf=1.00)"
5772837fedc2cb3880fabf44.jpg,"urban area (count=118, max_conf=1.00); background (count=20, max_conf=1.00); refrigerator (count=12, max_conf=1.00)"
577281a7edc2cb3880f51211.jpg,"urban area (count=147, max_conf=1.00); background (count=2, max_conf=1.00); bush (count=1, max_conf=0.84)"
57726ea6edc2cb3880b7e812.jpg,"urban area (count=146, max_conf=1.00); background (count=2, max_conf=1.00); sidewalk (count=1, max_conf=0.91); road (count=1, max_conf=0.95)"
577272d5edc2cb3880c69912.jpg,"urban area (count=147, max_conf=1.00); blanket (count=1, max_conf=0.95); background (count=1, max_conf=0.99); blinds (count=1, max_conf=0.92)"
577286cbedc2cb38800569df.jpg,"urban area (count=149, max_conf=1.00); background (count=1, max_conf=0.71)"
57726e19edc2cb3880b5f6f5.jpg,"urban area (count=144, max_conf=1.00); background (count=3, max_conf=0.80); building (count=1, max_conf=0.87); gravel (count=1, max_conf=0.92); desk (count=1, max_conf=0.56)"
577281abedc2cb3880f515b0.jpg,"urban area (count=150, max_conf=1.00)"
57728081edc2cb3880f151df.jpg,"urban area (count=146, max_conf=1.00); fence (count=2, max_conf=0.98); background (count=1, max_conf=1.00); pole (count=1, max_conf=0.55)"
5772750bedc2cb3880cd7301.jpg,"urban area (count=142, max_conf=1.00); background (count=6, max_conf=1.00); curtain (count=1, max_conf=1.00); flooring (count=1, max_conf=0.88)"
577284acedc2cb3880fe8951.jpg,"urban area (count=149, max_conf=1.00); background (count=1, max_conf=0.53)"
57728415edc2cb3880fca485.jpg,"urban area (count=149, max_conf=1.00); background (count=1, max_conf=0.86)"
5772867bedc2cb38800447ba.jpg,"urban area (count=148, max_conf=1.00); background (count=1, max_conf=0.77); shelves (count=1, max_conf=0.66)"
57726e17edc2cb3880b5f298.jpg,"urban area (count=143, max_conf=1.00); background (count=6, max_conf=1.00); hill (count=1, max_conf=0.89)"
57727756edc2cb3880d45f1d.jpg,"urban area (count=144, max_conf=1.00); blanket (count=2, max_conf=0.95); background (count=1, max_conf=1.00); sidewalk (count=1, max_conf=0.75); cage (count=1, max_conf=0.85); desk (count=1, max_conf=0.80)"
577283a1edc2cb3880fb4737.jpg,"urban area (count=133, max_conf=1.00); dirt (count=3, max_conf=0.90); background (count=6, max_conf=1.00); blanket (count=2, max_conf=1.00); gravel (count=1, max_conf=0.90); building (count=1, max_conf=0.59); cage (count=1, max_conf=0.98); branch (count=1, max_conf=0.52); sidewalk (count=1, max_conf=0.81); door (count=1, max_conf=0.93)"
57728744edc2cb388006c92c.jpg,"urban area (count=150, max_conf=1.00)"
57726f77edc2cb3880baa4c5.jpg,"urban area (count=116, max_conf=0.98); desk (count=9, max_conf=0.90); background (count=11, max_conf=0.98); refrigerator (count=9, max_conf=0.92); other structure (count=1, max_conf=0.57)"
57727a6cedc2cb3880de7473.jpg,"urban area (count=144, max_conf=1.00); blanket (count=3, max_conf=0.93); background (count=2, max_conf=1.00); curtain (count=1, max_conf=0.99)"
57727fbbedc2cb3880eed035.jpg,"urban area (count=149, max_conf=1.00); desk (count=1, max_conf=0.96)"
57727fa5edc2cb3880eeae36.jpg,"urban area (count=149, max_conf=1.00)"
57727562edc2cb3880ce1404.jpg,"urban area (count=147, max_conf=1.00); background (count=2, max_conf=1.00); bush (count=1, max_conf=0.98)"
57728375edc2cb3880faafd0.jpg,"urban area (count=150, max_conf=1.00)"
577278b0edc2cb3880d8b4fe.jpg,"urban area (count=148, max_conf=1.00); background (count=1, max_conf=1.00); refrigerator (count=1, max_conf=1.00)"
588d45b4edc2c9b47c37b6f1.jpg,"urban area (count=142, max_conf=1.00); background (count=5, max_conf=1.00); blanket (count=1, max_conf=0.79); rail track (count=1, max_conf=0.92); shower curtain (count=1, max_conf=0.94)"
57728144edc2cb3880f3d2a1.jpg,"urban area (count=149, max_conf=1.00); background (count=1, max_conf=0.96)"
593467a4edc2c9b408c15286.jpg,"urban area (count=147, max_conf=1.00); background (count=1, max_conf=1.00); sidewalk (count=1, max_conf=1.00); blanket (count=1, max_conf=0.91)"
57727fdcedc2cb3880ef5080.jpg,"urban area (count=144, max_conf=1.00); blanket (count=2, max_conf=0.98); background (count=3, max_conf=0.97); cage (count=1, max_conf=0.52)"
57727800edc2cb3880d64d2d.jpg,"urban area (count=150, max_conf=1.00)"
57727c8fedc2cb3880e4c960.jpg,"urban area (count=150, max_conf=1.00)"
577281c5edc2cb3880f594fe.jpg,"urban area (count=135, max_conf=1.00); background (count=10, max_conf=1.00); parking lot (count=1, max_conf=0.99); rail track (count=1, max_conf=0.54); gravel (count=1, max_conf=0.53); door (count=2, max_conf=0.77)"
57727b78edc2cb3880e18f04.jpg,"urban area (count=148, max_conf=1.00); refrigerator (count=1, max_conf=1.00); curtain (count=1, max_conf=0.60)"
57727017edc2cb3880bcee2a.jpg,"urban area (count=147, max_conf=1.00); dirt (count=1, max_conf=0.89); background (count=1, max_conf=0.99); sidewalk (count=1, max_conf=0.91)"
57727efbedc2cb3880ecc31e.jpg,"urban area (count=144, max_conf=1.00); background (count=4, max_conf=0.96); blanket (count=2, max_conf=0.99)"
577277d2edc2cb3880d5ac3d.jpg,"urban area (count=147, max_conf=1.00); background (count=1, max_conf=0.50); door (count=2, max_conf=1.00)"
577278b1edc2cb3880d8b558.jpg,"urban area (count=148, max_conf=1.00); background (count=1, max_conf=1.00); gravel (count=1, max_conf=0.98)"
57726f83edc2cb3880bb115d.jpg,"urban area (count=147, max_conf=1.00); background (count=2, max_conf=1.00); refrigerator (count=1, max_conf=1.00)"
5772846eedc2cb3880fdd965.jpg,"urban area (count=149, max_conf=1.00); lake (count=1, max_conf=0.83)"
57728a4bedc2cb3880107797.jpg,"urban area (count=148, max_conf=1.00); background (count=2, max_conf=1.00)"
57727cb9edc2cb3880e560b7.jpg,"urban area (count=143, max_conf=1.00); background (count=7, max_conf=0.97)"
577286ddedc2cb3880058192.jpg,"urban area (count=148, max_conf=1.00); rail track (count=1, max_conf=0.99); gravel (count=1, max_conf=0.99)"
57727f2dedc2cb3880ed5fa9.jpg,"urban area (count=134, max_conf=1.00); dirt (count=2, max_conf=0.73); rail track (count=3, max_conf=0.89); gravel (count=2, max_conf=1.00); bush (count=1, max_conf=0.66); cage (count=1, max_conf=0.50); building (count=1, max_conf=0.91); background (count=2, max_conf=1.00); pavement (count=1, max_conf=0.55); branch (count=1, max_conf=0.76)"
59ae59a9edc2c9cdd87cc189.jpg,"urban area (count=145, max_conf=1.00); food (count=2, max_conf=1.00); background (count=2, max_conf=1.00); guard rail (count=1, max_conf=0.93)"
577276b0edc2cb3880d27165.jpg,"urban area (count=147, max_conf=1.00); background (count=2, max_conf=0.76); curtain (count=1, max_conf=0.55)"
57727ca4edc2cb3880e54008.jpg,"urban area (count=147, max_conf=1.00); blanket (count=1, max_conf=0.68); cardboard (count=1, max_conf=0.82)"
57727e10edc2cb3880e9b02d.jpg,"urban area (count=150, max_conf=1.00)"
57727c5bedc2cb3880e42ab4.jpg,"urban area (count=147, max_conf=1.00); background (count=3, max_conf=0.86)"
57727e83edc2cb3880eb0ddb.jpg,"urban area (count=145, max_conf=1.00); background (count=5, max_conf=0.89)"
577281c3edc2cb3880f59050.jpg,"urban area (count=147, max_conf=1.00); background (count=2, max_conf=0.98)"
577281c1edc2cb3880f58e30.jpg,"urban area (count=131, max_conf=1.00); background (count=11, max_conf=1.00); food (count=1, max_conf=0.69); blanket (count=3, max_conf=1.00); shelves (count=2, max_conf=0.97); sidewalk (count=1, max_conf=0.70); dirt (count=1, max_conf=0.55)"
57728a37edc2cb3880105a56.jpg,"urban area (count=147, max_conf=1.00); background (count=3, max_conf=0.93)"
577275a7edc2cb3880ced250.jpg,"urban area (count=127, max_conf=1.00); background (count=14, max_conf=1.00); door (count=6, max_conf=0.99); refrigerator (count=3, max_conf=1.00)"
577278baedc2cb3880d8c36c.jpg,"urban area (count=147, max_conf=1.00); background (count=2, max_conf=1.00); road (count=1, max_conf=0.79)"
5772831aedc2cb3880f9ebcf.jpg,"urban area (count=146, max_conf=1.00); background (count=4, max_conf=0.93)"
577275e6edc2cb3880cf8b29.jpg,"urban area (count=143, max_conf=1.00); background (count=7, max_conf=0.98)"
57728218edc2cb3880f6b05e.jpg,"urban area (count=146, max_conf=1.00); background (count=3, max_conf=1.00)"
5772857fedc2cb3880012104.jpg,"urban area (count=150, max_conf=1.00)"
57728253edc2cb3880f760a5.jpg,"urban area (count=146, max_conf=1.00); food (count=1, max_conf=0.93); background (count=1, max_conf=1.00); hill (count=1, max_conf=0.69); rail track (count=1, max_conf=0.54)"
57726f76edc2cb3880baa2cf.jpg,"urban area (count=147, max_conf=1.00); guard rail (count=1, max_conf=0.63); food (count=1, max_conf=0.99); desk (count=1, max_conf=0.72)"
57728629edc2cb388003759f.jpg,"urban area (count=149, max_conf=1.00); banner (count=1, max_conf=0.70)"
57727c73edc2cb3880e49fee.jpg,"urban area (count=143, max_conf=1.00); rail track (count=2, max_conf=0.66); hill (count=1, max_conf=0.91); pavement (count=1, max_conf=0.98); bridge (count=1, max_conf=0.85); gravel (count=1, max_conf=0.98); shelves (count=1, max_conf=1.00)"
57728965edc2cb38800dbaf8.jpg,"urban area (count=148, max_conf=1.00); background (count=1, max_conf=1.00); sidewalk (count=1, max_conf=1.00)"
577270a4edc2cb3880beddbd.jpg,"urban area (count=148, max_conf=1.00); banner (count=2, max_conf=0.66)"
5954fa32edc2c93644c38f1b.jpg,"urban area (count=131, max_conf=1.00); desk (count=9, max_conf=0.94); background (count=8, max_conf=1.00); shower curtain (count=1, max_conf=0.90)"
57727ca6edc2cb3880e54252.jpg,"urban area (count=118, max_conf=1.00); desk (count=19, max_conf=0.99); background (count=10, max_conf=1.00); door (count=2, max_conf=1.00); curtain (count=1, max_conf=0.98)"
57728a0dedc2cb38800fc320.jpg,"urban area (count=144, max_conf=1.00); door (count=2, max_conf=1.00); background (count=3, max_conf=0.94)"
577271d9edc2cb3880c2ef66.jpg,"urban area (count=132, max_conf=1.00); background (count=17, max_conf=1.00)"
57727669edc2cb3880d1573f.jpg,"urban area (count=131, max_conf=1.00); dirt (count=1, max_conf=0.69); sand (count=1, max_conf=0.75); background (count=11, max_conf=0.99); pavement (count=1, max_conf=0.52); blanket (count=1, max_conf=0.76); cage (count=2, max_conf=0.74); hill (count=1, max_conf=0.59)"
57727696edc2cb3880d1f359.jpg,"urban area (count=142, max_conf=1.00); gravel (count=1, max_conf=0.66); background (count=3, max_conf=0.97); desk (count=3, max_conf=0.96); food (count=1, max_conf=0.80)"
57727334edc2cb3880c7ea9a.jpg,"urban area (count=106, max_conf=1.00); blanket (count=8, max_conf=0.99); sand (count=8, max_conf=1.00); background (count=15, max_conf=1.00); hill (count=5, max_conf=1.00); cage (count=1, max_conf=0.98); curtain (count=1, max_conf=0.82); pavement (count=1, max_conf=0.74); flooring (count=1, max_conf=0.50); sidewalk (count=1, max_conf=0.93)"
57726f33edc2cb3880b9dfb3.jpg,"urban area (count=147, max_conf=1.00); background (count=3, max_conf=0.90)"
57728955edc2cb38800d4b93.jpg,"urban area (count=144, max_conf=1.00); background (count=4, max_conf=0.98); refrigerator (count=1, max_conf=0.97); flooring (count=1, max_conf=1.00)"
57727759edc2cb3880d461ff.jpg,"urban area (count=147, max_conf=1.00); background (count=1, max_conf=1.00); sidewalk (count=1, max_conf=0.97); cage (count=1, max_conf=0.67)"
577288e2edc2cb38800be4a0.jpg,"urban area (count=149, max_conf=1.00); background (count=1, max_conf=0.99)"
57728143edc2cb3880f3d1d1.jpg,"urban area (count=146, max_conf=1.00); desk (count=3, max_conf=0.89); background (count=1, max_conf=1.00)"
57727de7edc2cb3880e91f26.jpg,"urban area (count=139, max_conf=1.00); background (count=9, max_conf=1.00); sidewalk (count=1, max_conf=0.88); branch (count=1, max_conf=0.66)"
57728562edc2cb388000f4da.jpg,"urban area (count=150, max_conf=1.00)"
5a5da69dedc2c973d42ff2ee.jpg,"urban area (count=149, max_conf=1.00); desk (count=1, max_conf=1.00)"
5772866fedc2cb388004339f.jpg,"urban area (count=150, max_conf=1.00)"
57727e13edc2cb3880e9b45b.jpg,"urban area (count=150, max_conf=1.00)"
57727af3edc2cb3880e04523.jpg,"urban area (count=149, max_conf=1.00); door (count=1, max_conf=1.00)"
587cf1fdedc2c9546c04aabd.jpg,"urban area (count=136, max_conf=1.00); background (count=10, max_conf=0.99); road (count=2, max_conf=0.90); gravel (count=1, max_conf=1.00)"
57728123edc2cb3880f39ebd.jpg,"urban area (count=148, max_conf=1.00); background (count=1, max_conf=1.00); refrigerator (count=1, max_conf=1.00)"
57727990edc2cb3880dbc91a.jpg,"urban area (count=145, max_conf=1.00); background (count=3, max_conf=0.98); rail track (count=1, max_conf=0.53); toilet (count=1, max_conf=0.99)"
57727d6fedc2cb3880e7c361.jpg,"urban area (count=147, max_conf=1.00); blanket (count=1, max_conf=1.00); background (count=1, max_conf=0.97); cage (count=1, max_conf=0.61)"
5772794bedc2cb3880daae26.jpg,"urban area (count=144, max_conf=1.00); background (count=5, max_conf=1.00)"
5772867cedc2cb38800448ac.jpg,"urban area (count=110, max_conf=0.98); background (count=30, max_conf=0.99); curtain (count=4, max_conf=0.98); blanket (count=2, max_conf=0.88); refrigerator (count=1, max_conf=0.65); field (count=1, max_conf=0.68); desk (count=1, max_conf=0.60)"
57726f83edc2cb3880bb117d.jpg,"urban area (count=147, max_conf=1.00); background (count=2, max_conf=0.99); shower curtain (count=1, max_conf=0.56)"
57728948edc2cb38800d357a.jpg,"urban area (count=149, max_conf=1.00); background (count=1, max_conf=1.00)"
57728143edc2cb3880f3d1c1.jpg,"urban area (count=147, max_conf=1.00); bush (count=2, max_conf=0.88); background (count=1, max_conf=1.00)"
596f9062edc2c953f4a9cdf5.jpg,"urban area (count=150, max_conf=1.00)"
577281a5edc2cb3880f5101f.jpg,"urban area (count=138, max_conf=1.00); background (count=12, max_conf=1.00)"
577286caedc2cb3880056869.jpg,"urban area (count=149, max_conf=1.00); background (count=1, max_conf=0.88)"
5772798eedc2cb3880dbc5c2.jpg,"urban area (count=149, max_conf=1.00); background (count=1, max_conf=0.67)"
57728984edc2cb38800de884.jpg,"urban area (count=150, max_conf=1.00)"
57726ef9edc2cb3880b9278e.jpg,"urban area (count=148, max_conf=1.00); background (count=1, max_conf=1.00); bush (count=1, max_conf=0.92)"
57728143edc2cb3880f3d1b1.jpg,"urban area (count=147, max_conf=1.00); road (count=1, max_conf=0.51); building (count=1, max_conf=0.89); background (count=1, max_conf=1.00)"
577281a5edc2cb3880f50ebb.jpg,"urban area (count=150, max_conf=1.00)"
57728393edc2cb3880fb31a8.jpg,"urban area (count=134, max_conf=1.00); blanket (count=3, max_conf=0.99); sand (count=1, max_conf=0.80); background (count=4, max_conf=1.00); pavement (count=1, max_conf=0.61); cage (count=2, max_conf=0.85); hill (count=1, max_conf=0.69); dirt (count=1, max_conf=0.66); rail track (count=1, max_conf=0.65)"
57728649edc2cb388003a837.jpg,"urban area (count=147, max_conf=1.00); background (count=2, max_conf=0.98); bush (count=1, max_conf=0.55)"
57728223edc2cb3880f6bf27.jpg,"urban area (count=144, max_conf=1.00); background (count=6, max_conf=1.00)"
57727a06edc2cb3880dd2d61.jpg,"urban area (count=147, max_conf=1.00); background (count=1, max_conf=0.98); sidewalk (count=1, max_conf=0.98); bush (count=1, max_conf=0.94)"
